stem,stem_genders,form,form_gender,case,number
ekatara,mfn,ekatarasyAm,f,7,s
ekatara,mfn,ekatarayos,f,7,d
ekatara,mfn,ekatarAsu,f,7,p
ekatara,mfn,ekatarA,f,8,s
ekatara,mfn,ekatare,f,8,d
ekatara,mfn,ekatarAs,f,8,p
ekatara,mfn,ekatarat,n,1,s
ekatara,mfn,ekatare,n,1,d
ekatara,mfn,ekatarARi,n,1,p
ekatara,mfn,ekatarat,n,2,s
ekatara,mfn,ekatare,n,2,d
ekatara,mfn,ekatarARi,n,2,p
ekatara,mfn,ekatareRa,n,3,s
ekatara,mfn,ekatarAByAm,n,3,d
ekatara,mfn,ekatarEs,n,3,p
ekatara,mfn,ekatarasmE,n,4,s
ekatara,mfn,ekatarAByAm,n,4,d
ekatara,mfn,ekatareByas,n,4,p
ekatara,mfn,ekatarasmAt,n,5,s
ekatara,mfn,ekatarAByAm,n,5,d
ekatara,mfn,ekatareByas,n,5,p
ekatara,mfn,ekatarasya,n,6,s
ekatara,mfn,ekatarayos,n,6,d
ekatara,mfn,ekatarezAm,n,6,p
ekatara,mfn,ekataram,n,7,s
ekatara,mfn,ekatare,n,7,d
ekatara,mfn,ekatarARi,n,7,p
ekatara,mfn,ekataram,n,8,s
ekatara,mfn,ekatare,n,8,d
ekatara,mfn,ekatarARi,n,8,p
katama,mfn,katamas,m,1,s
katama,mfn,katamO,m,1,d
katama,mfn,katame,m,1,p
katama,mfn,katamam,m,2,s
katama,mfn,katamO,m,2,d
katama,mfn,katamAn,m,2,p
katama,mfn,katamena,m,3,s
katama,mfn,katamAByAm,m,3,d
katama,mfn,katamEs,m,3,p
katama,mfn,katamasmE,m,4,s
katama,mfn,katamAByAm,m,4,d
katama,mfn,katameByas,m,4,p
katama,mfn,katamasmAt,m,5,s
katama,mfn,katamAByAm,m,5,d
katama,mfn,katameByas,m,5,p
katama,mfn,katamasya,m,6,s
katama,mfn,katamayos,m,6,d
katama,mfn,katamezAm,m,6,p
katama,mfn,katamasmin,m,7,s
katama,mfn,katamayos,m,7,d
katama,mfn,katamezu,m,7,p
katama,mfn,katamas,m,8,s
katama,mfn,katamO,m,8,d
katama,mfn,katame,m,8,p
katama,mfn,katamA,f,1,s
katama,mfn,katame,f,1,d
katama,mfn,katamAs,f,1,p
katama,mfn,katamAm,f,2,s
katama,mfn,katame,f,2,d
katama,mfn,katamAs,f,2,p
katama,mfn,katamayA,f,3,s
katama,mfn,katamAByAm,f,3,d
katama,mfn,katamABis,f,3,p
katama,mfn,katamasyE,f,4,s
katama,mfn,katamAByAm,f,4,d
katama,mfn,katamAByas,f,4,p
katama,mfn,katamasyAs,f,5,s
katama,mfn,katamAByAm,f,5,d
katama,mfn,katamAByas,f,5,p
katama,mfn,katamasyAs,f,6,s
katama,mfn,katamayos,f,6,d
katama,mfn,katamAsAm,f,6,p
katama,mfn,katamasyAm,f,7,s
katama,mfn,katamayos,f,7,d
katama,mfn,katamAsu,f,7,p
katama,mfn,katamA,f,8,s
katama,mfn,katame,f,8,d
katama,mfn,katamAs,f,8,p
katama,mfn,katamat,n,1,s
katama,mfn,katame,n,1,d
katama,mfn,katamAni,n,1,p
katama,mfn,katamat,n,2,s
katama,mfn,katame,n,2,d
katama,mfn,katamAni,n,2,p
katama,mfn,katamena,n,3,s
katama,mfn,katamAByAm,n,3,d
katama,mfn,katamEs,n,3,p
katama,mfn,katamasmE,n,4,s
katama,mfn,katamAByAm,n,4,d
katama,mfn,katameByas,n,4,p
katama,mfn,katamasmAt,n,5,s
katama,mfn,katamAByAm,n,5,d
katama,mfn,katameByas,n,5,p
katama,mfn,katamasya,n,6,s
katama,mfn,katamayos,n,6,d
katama,mfn,katamezAm,n,6,p
katama,mfn,katamam,n,7,s
katama,mfn,katame,n,7,d
katama,mfn,katamAni,n,7,p
katama,mfn,katamam,n,8,s
katama,mfn,katame,n,8,d
katama,mfn,katamAni,n,8,p
yatama,mfn,yatamas,m,1,s
yatama,mfn,yatamO,m,1,d
yatama,mfn,yatame,m,1,p
yatama,mfn,yatamam,m,2,s
yatama,mfn,yatamO,m,2,d
yatama,mfn,yatamAn,m,2,p
yatama,mfn,yatamena,m,3,s
yatama,mfn,yatamAByAm,m,3,d
yatama,mfn,yatamEs,m,3,p
yatama,mfn,yatamasmE,m,4,s
yatama,mfn,yatamAByAm,m,4,d
yatama,mfn,yatameByas,m,4,p
yatama,mfn,yatamasmAt,m,5,s
yatama,mfn,yatamAByAm,m,5,d
yatama,mfn,yatameByas,m,5,p
yatama,mfn,yatamasya,m,6,s
yatama,mfn,yatamayos,m,6,d
yatama,mfn,yatamezAm,m,6,p
yatama,mfn,yatamasmin,m,7,s
yatama,mfn,yatamayos,m,7,d
yatama,mfn,yatamezu,m,7,p
yatama,mfn,yatamas,m,8,s
yatama,mfn,yatamO,m,8,d
yatama,mfn,yatame,m,8,p
yatama,mfn,yatamA,f,1,s
yatama,mfn,yatame,f,1,d
yatama,mfn,yatamAs,f,1,p
yatama,mfn,yatamAm,f,2,s
yatama,mfn,yatame,f,2,d
yatama,mfn,yatamAs,f,2,p
yatama,mfn,yatamayA,f,3,s
yatama,mfn,yatamAByAm,f,3,d
yatama,mfn,yatamABis,f,3,p
yatama,mfn,yatamasyE,f,4,s
yatama,mfn,yatamAByAm,f,4,d
yatama,mfn,yatamAByas,f,4,p
yatama,mfn,yatamasyAs,f,5,s
yatama,mfn,yatamAByAm,f,5,d
yatama,mfn,yatamAByas,f,5,p
yatama,mfn,yatamasyAs,f,6,s
yatama,mfn,yatamayos,f,6,d
yatama,mfn,yatamAsAm,f,6,p
yatama,mfn,yatamasyAm,f,7,s
yatama,mfn,yatamayos,f,7,d
yatama,mfn,yatamAsu,f,7,p
yatama,mfn,yatamA,f,8,s
yatama,mfn,yatame,f,8,d
yatama,mfn,yatamAs,f,8,p
yatama,mfn,yatamat,n,1,s
yatama,mfn,yatame,n,1,d
yatama,mfn,yatamAni,n,1,p
yatama,mfn,yatamat,n,2,s
yatama,mfn,yatame,n,2,d
yatama,mfn,yatamAni,n,2,p
yatama,mfn,yatamena,n,3,s
yatama,mfn,yatamAByAm,n,3,d
yatama,mfn,yatamEs,n,3,p
yatama,mfn,yatamasmE,n,4,s
yatama,mfn,yatamAByAm,n,4,d
yatama,mfn,yatameByas,n,4,p
yatama,mfn,yatamasmAt,n,5,s
yatama,mfn,yatamAByAm,n,5,d
yatama,mfn,yatameByas,n,5,p
yatama,mfn,yatamasya,n,6,s
yatama,mfn,yatamayos,n,6,d
yatama,mfn,yatamezAm,n,6,p
yatama,mfn,yatamam,n,7,s
yatama,mfn,yatame,n,7,d
yatama,mfn,yatamAni,n,7,p
yatama,mfn,yatamam,n,8,s
yatama,mfn,yatame,n,8,d
yatama,mfn,yatamAni,n,8,p
tatama,mfn,tatamas,m,1,s
tatama,mfn,tatamO,m,1,d
tatama,mfn,tatame,m,1,p
tatama,mfn,tatamam,m,2,s
tatama,mfn,tatamO,m,2,d
tatama,mfn,tatamAn,m,2,p
tatama,mfn,tatamena,m,3,s
tatama,mfn,tatamAByAm,m,3,d
tatama,mfn,tatamEs,m,3,p
tatama,mfn,tatamasmE,m,4,s
tatama,mfn,tatamAByAm,m,4,d
tatama,mfn,tatameByas,m,4,p
tatama,mfn,tatamasmAt,m,5,s
tatama,mfn,tatamAByAm,m,5,d
tatama,mfn,tatameByas,m,5,p
tatama,mfn,tatamasya,m,6,s
tatama,mfn,tatamayos,m,6,d
tatama,mfn,tatamezAm,m,6,p
tatama,mfn,tatamasmin,m,7,s
tatama,mfn,tatamayos,m,7,d
tatama,mfn,tatamezu,m,7,p
tatama,mfn,tatamas,m,8,s
tatama,mfn,tatamO,m,8,d
